NCL	SEA	2.682347008	171	193	215	234	253	287	317	360	343.979057591623
NER	AFRICA	1.798365184	7822	9287	11124	13264	15791	22222	30842	53163	98833.2416426268
NGA	AFRICA	42.078142464	94454	109010	124773	141356	158313	193099	226855	288696	337818.705901469
NIC	LA	3.936327936	4141	4664	5108	5463	5832	6696	7407	8169	9058.96098638204
NLD	W-OECD	370.638487552	14952	15459	15924	16328	16502	16760	17141	17235	16209.2765719004
NOR	W-OECD	166.906200064	4241	4359	4489	4639	4785	5079	5366	5732	5267.11664964249
NPL	SEA	5.494252032	19114	21672	24419	27094	29898	35868	41742	51891	59529.1182641212
NZL	P-OECD	52.125302784	3411	3673	3854	4097	4285	4616	4895	5209	4900.75465425532
OMN	ME	19.867881472	1843	2172	2402	2507	2767	3339	3865	4639	5582.87169700528
PAK	SEA	73.320964096	112991	127766	144360	158081	173351	208315	240276	292205	342344.931086894
PAN	LA	11.62050048	2411	2670	2950	3232	3509	4027	4488	5093	5090.02743190662
PER	LA	53.08567552	21762	23857	25663	27274	28894	32540	35564	39049	37796.9240481693
PHL	SEA	75.912536064	61226	68587	76213	84566	93001	108748	122388	140466	142493.914606388
PNG	SEA	3.419955456	4131	4709	5381	6070	6708	7937	9183	11155	12479.3424842484
POL	EEFSU	166.548471808	38111	38595	38433	38196	37902	37079	35353	30260	23924.5073324446
PRI	LA	61.04489984	3528	3696	3834	3947	4056	4252	4383	4422	3649.96132151491
PRT	W-OECD	106.456604672	9983	10030	10227	10528	10725	10790	10607	9982	8110.99700897308
PRY	LA	7.721718784	4248	4799	5349	5904	6460	7533	8483	9868	11047.0104863347
PYF	SEA	3.447543296	195	216	236	256	273	306	330	357	340.90985915493
RUS	EEFSU	259.708502016	148615	149124	147423	143953	140318	132407	123915	107832	84535.500946223
RWA	AFRICA	1.810880128	7294	5644	8176	9234	10601	13731	16646	22627	27398.226830849
SAU	ME	188.441870336	16256	18251	20807	23612	26416	32089	37314	45030	50453.705469692
SDN	AFRICA	12.191583232	25933	29492	33349	36900	41230	50027	58446	73029	79130.4367485407
SEN	AFRICA	4.384747008	7896	9054	10334	11770	13311	16442	19554	25257	29547.02820881
SGP	SEA	91.476107264	3016	3478	4017	4327	4592	4965	5202	5026	3971.62538563244
SLB	SEA	0.299277024	314	362	415	472	531	647	762	955	1059.32773109244
SLE	AFRICA	0.63378656	4087	4143	4521	5586	6185	7747	9592	13524	14423.9431279621
SLV	LA	13.134147584	5110	5632	6195	6668	7142	8077	8935	10040	9949.78045542735
STP	AFRICA	0.046484292	116	128	140	153	165	197	234	296	344.343839541547
SUR	LA	0.89159776	402	416	436	452	465	480	481	426	397.228758169935
SVK	EEFSU	20.218161152	5256	5364	5388	5387	5396	5366	5217	4664	3768.52708164915
