CC	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
TGO	1.3291104	1.68390094298884	2.09246820736508	2.55850040458475	3.06904237432353	3.62592169808247	4.22754983717748	4.81709462286314	5.4448145464183	6.11070960784296	6.81477980713713	7.25698323911642	7.70917672556571	8.17136026648502	8.64353386187434	9.12569751173366	9.61785121606299	10.1199949748623	10.6321287881317	11.1542526558711	11.6863665780804
TCD	1.3902752	1.95036746475318	2.57990434894626	3.35722430093607	4.23590373086082	5.34401028231549	6.57704567939942	7.99534056199614	9.5479416514782	11.2348489478456	13.0560624510983	14.3851401360082	15.7742451347364	17.2233774472831	18.7325370736482	20.3017240138317	21.9309382678336	23.6201798356539	25.3694487172927	27.1787449127498	29.0480684220254
SWZ	1.388703232	1.44354293145869	1.45432053777042	1.45569261753658	1.45535806639161	1.44632418080223	1.43593676035229	1.42530240628893	1.41325566802325	1.39979654555526	1.38492503888496	1.34448188285116	1.30406405438217	1.26367155347799	1.22330438013861	1.18296253436405	1.14264601615429	1.10235482550935	1.06208896242921	1.02184842691388	0.981633218963367
STP	0.046484292	0.0537998720370076	0.0612538812590919	0.0707417028730772	0.0808568042766888	0.0926742932806064	0.105217074541279	0.117077403725337	0.129545410205595	0.142621093982053	0.156304455054712	0.164754382566405	0.173393842037456	0.182222833467865	0.191241356857633	0.20044941220676	0.209846999515245	0.219434118783088	0.229210770010289	0.239176953196849	0.249332668342768
SLE	0.63378656	0.946167373619548	1.2281961356312	1.58665447083799	1.99071487082627	2.48086905616203	3.02488739612124	3.64361515946491	4.31973963174609	5.05326081296479	5.84417870312099	6.28052428171074	6.72212456770394	7.1689795611006	7.62108926190071	8.07845367010428	8.5410727857113	9.00894660872178	9.48207513913571	9.96045837695309	10.4440963221739
SEN	4.384747008	5.17046517394037	6.04693087250658	6.98108939618564	7.96217809444558	8.98545411729669	10.0553755260615	11.1030107486283	12.1933867545925	13.3265035439542	14.5023611167132	15.1336953412631	15.7778901070328	16.4349454140223	17.1048612622316	17.7876376516608	18.4832745823098	19.1917720541785	19.9131300672672	20.6473486215756	21.3944277171038
SDN	12.191583232	14.1511839057662	16.5508006311746	19.1343755274747	21.875638781725	24.6885572369594	27.6523883084929	30.4903012206882	33.4589160383052	36.5582327613438	39.7882513898039	41.4406743146932	43.1149711862011	44.8111420043274	46.5291867690722	48.2691054804355	50.0308981384174	51.8145647430176	53.6201052942364	55.4475197920737	57.2968082365294
RWA	1.810880128	2.27726098100294	2.88078590287799	3.6117968227605	4.42146358316309	5.27246910675905	6.19672759365086	7.20924070229711	8.29690406368307	9.45971767780874	10.6976815446741	11.5038562550745	12.3340108285223	13.1881452650176	14.0662595645602	14.9683537271504	15.8944277527879	16.8444816414729	17.8185153932054	18.8165290079852	19.8385224858125
NGA	42.078142464	50.404681663917	59.51331732401	69.4502577029423	80.0600340466077	91.1191629785696	102.831205462694	114.526086630313	126.819036689081	139.710055638998	153.199143480065	161.484898958191	169.960682167102	178.626493106798	187.482331777279	196.528198178547	205.764092310599	215.190014173437	224.80596376706	234.611941091469	244.607946146663
NER	1.798365184	2.51732275500801	3.44096712930995	4.67612383417838	6.09212514367672	8.01980462331917	10.1898850502342	13.0577645795941	16.2394858458492	19.7350488489993	23.5444535890444	27.1904770910506	31.0933569697701	35.2530932252027	39.6696858573486	44.3431348662076	49.2734402517799	54.4606020140653	59.904620153064	65.6054946687759	71.5632255612009
NAM	3.413544704	3.55934410061473	3.68290813632201	3.78902435033106	3.88033581994433	3.94063546627583	3.98727759932709	3.97113842994217	3.94508390591579	3.90911402724795	3.86322879393865	3.7312280113875	3.59616002100458	3.45802482278989	3.31682241674344	3.17255280286522	3.02521598115524	2.8748119516135	2.72134071423999	2.56480226903472	2.40519661599768
MWI	1.74350656	2.36360059413175	3.11886074236154	4.03605252333146	5.07130296366639	6.26673272595059	7.58845913331284	9.00086265403067	10.5337359518832	12.1870790268704	13.9608918789922	15.269975508664	16.6273977203231	18.0331585139695	19.4872578896031	20.9896958472242	22.5404723868325	24.1395875084281	25.7870412120111	27.4828334975814	29.226964365139
MUS	4.423849984	4.44248226460771	4.42743435775941	4.3694836794911	4.29905819051929	4.1759472716095	4.04441961294795	3.84020401758757	3.63478603083407	3.42816565268747	3.22034288314776	2.97731752933918	2.73801107088146	2.5024235077746	2.27055484001861	2.04240506761348	1.81797419055921	1.59726220885581	1.38026912250326	1.16699493150159	0.957439635850772
