KEN	AFRICA	14.2759	23447.00	27380.00	31252.00	34683.73	35599.00	40645.00	51691.00	62762.00	84757.00	88283.40
KGZ	EEFSU	1.6531	4395.00	4591.00	4946.00	5151.35	5204.00	5497.00	6024.00	6343.00	6566.00	6133.11
KHM	CPA	4.6788	9698.00	11395.00	12780.00	13712.45	13956.00	15224.00	18102.00	20761.00	25114.00	29226.76
KOR	SEA	613.1296	42869.00	45008.00	46780.00	47649.99	47870.00	48673.00	49221.00	48411.00	42327.00	33967.01
KWT	ME	43.4698	2143.00	1725.00	2228.00	2598.21	2700.00	3051.00	3690.00	4273.00	5240.00	4849.61
LAO	CPA	2.1881	4076.00	4692.00	5224.00	5573.13	5664.00	6173.00	7223.00	8142.00	9290.00	10372.53
LBN	ME	19.8479	2974.00	3491.00	3772.00	3962.02	4011.00	4227.00	4616.00	4925.00	5221.00	4756.54
LBR	AFRICA	0.4211	2137.00	2143.00	3071.00	3364.38	3442.00	4311.00	5849.00	7797.00	12460.00	17156.76
LCA	LA	0.6998	138.00	146.00	153.00	159.37	161.00	171.00	188.00	201.00	216.00	198.77
LKA	SEA	18.6736	17114.00	18080.00	18714.00	19038.90	19121.00	19576.00	20229.00	20249.00	18715.00	16524.57
LSO	AFRICA	0.9702	1601.00	1722.00	1886.00	1961.62	1981.00	2044.00	2163.00	2252.00	2356.00	2819.67
LTU	EEFSU	15.1246	3698.00	3630.00	3503.00	3440.46	3425.00	3336.00	3188.00	3023.00	2654.00	2490.10
LUX	W-OECD	21.9483	382.00	408.00	437.00	452.93	457.00	483.00	538.00	601.00	722.00	716.96
LVA	EEFSU	10.3156	2663.00	2490.00	2379.00	2317.20	2302.00	2243.00	2134.00	2012.00	1768.00	1369.50
MAR	AFRICA	40.2199	24808.00	26951.00	28827.00	30153.85	30495.00	32381.00	36200.00	39259.00	42583.00	42077.22
MDA	EEFSU	1.6856	4389.00	4379.00	4145.00	3929.18	3877.00	3707.00	3580.00	3388.00	2883.00	2219.43
MDG	AFRICA	4.1461	12033.00	13947.00	16187.00	18123.66	18643.00	21299.00	27005.00	32931.00	44453.00	59160.56
MDV	SEA	0.8270	216.00	248.00	273.00	290.46	295.00	323.00	383.00	434.00	510.00	629.56
MEX	LA	619.4478	84002.00	91823.00	99735.00	103343.62	104266.00	110293.00	120559.00	128125.00	132278.00	120830.97
MKD	EEFSU	3.6534	1909.00	1963.00	2009.00	2028.98	2034.00	2041.00	2025.00	1966.00	1746.00	1548.40
MLI	AFRICA	3.1053	7669.00	8736.00	10004.00	11270.17	11611.00	13506.00	18034.00	23250.00	34231.00	52456.08
MLT	W-OECD	3.7862	360.00	378.00	389.00	400.16	403.00	411.00	426.00	434.00	428.00	400.32
MNG	CPA	1.1626	2216.00	2389.00	2470.00	2558.41	2581.00	2707.00	2997.00	3204.00	3388.00	3077.31
MOZ	AFRICA	5.3403	13544.00	15943.00	18194.00	20042.30	20533.00	22635.00	26809.00	31117.00	39117.00	43065.60
MRT	AFRICA	1.3031	1945.00	2225.00	2566.00	2878.97	2963.00	3363.00	4153.00	4944.00	6364.00	8279.91
MUS	AFRICA	5.2941	1057.00	1125.00	1186.00	1229.80	1241.00	1291.00	1374.00	1430.00	1446.00	1322.28
MWI	AFRICA	1.9288	9446.00	10091.00	11623.00	12888.62	13226.00	15037.00	19150.00	23550.00	31944.00	40364.25
MYS	SEA	106.7904	18103.00	20594.00	23274.00	25158.50	25653.00	27920.00	32020.00	35270.00	39631.00	39702.14
NAM	AFRICA	4.0881	1417.00	1657.00	1879.00	1990.98	2020.00	2157.00	2428.00	2678.00	3041.00	3321.73
NCL	SEA	2.7291	171.00	193.00	215.00	230.07	234.00	253.00	287.00	317.00	360.00	343.98
NER	AFRICA	2.1083	7822.00	9287.00	11124.00	12805.36	13264.00	15791.00	22222.00	30842.00	53163.00	98833.24
NGA	AFRICA	51.6919	94454.00	109010.00	124773.00	137871.82	141356.00	158313.00	193099.00	226855.00	288696.00	337818.71
NIC	LA	4.3905	4141.00	4664.00	5108.00	5390.08	5463.00	5832.00	6696.00	7407.00	8169.00	9058.96
NLD	W-OECD	380.1360	14952.00	15459.00	15924.00	16246.39	16328.00	16502.00	16760.00	17141.00	17235.00	16209.28
NOR	W-OECD	179.0744	4241.00	4359.00	4489.00	4608.60	4639.00	4785.00	5079.00	5366.00	5732.00	5267.12
NPL	SEA	6.1469	19114.00	21672.00	24419.00	26536.53	27094.00	29898.00	35868.00	41742.00	51891.00	59529.12
NZL	P-OECD	61.0375	3411.00	3673.00	3854.00	4047.20	4097.00	4285.00	4616.00	4895.00	5209.00	4900.75
OMN	ME	22.7064	1843.00	2172.00	2402.00	2485.64	2507.00	2767.00	3339.00	3865.00	4639.00	5582.87
PAK	SEA	86.0709	112991.00	127766.00	144360.00	155236.24	158081.00	173351.00	208315.00	240276.00	292205.00	342344.93
PAN	LA	13.2418	2411.00	2670.00	2950.00	3173.52	3232.00	3509.00	4027.00	4488.00	5093.00	5090.03
PER	LA	60.8122	21762.00	23857.00	25663.00	26943.91	27274.00	28894.00	32540.00	35564.00	39049.00	37796.92
PHL	SEA	88.5482	61226.00	68587.00	76213.00	82825.19	84566.00	93001.00	108748.00	122388.00	140466.00	142493.91
PNG	SEA	3.4859	4131.00	4709.00	5381.00	5925.48	6070.00	6708.00	7937.00	9183.00	11155.00	12479.34
POL	EEFSU	186.7286	38111.00	38595.00	38433.00	38243.28	38196.00	37902.00	37079.00	35353.00	30260.00	23924.51
PRI	LA	71.6702	3528.00	3696.00	3834.00	3924.14	3947.00	4056.00	4252.00	4383.00	4422.00	3649.96
PRT	W-OECD	108.5196	9983.00	10030.00	10227.00	10467.10	10528.00	10725.00	10790.00	10607.00	9982.00	8111.00
PRY	LA	8.2587	4248.00	4799.00	5349.00	5788.57	5904.00	6460.00	7533.00	8483.00	9868.00	11047.01
PYF	SEA	3.9196	195.00	216.00	236.00	251.87	256.00	273.00	306.00	330.00	357.00	340.91
RUS	EEFSU	328.8091	148615.00	149124.00	147423.00	144640.40	143953.00	140318.00	132407.00	123915.00	107832.00	84535.50
RWA	AFRICA	2.2195	7294.00	5644.00	8176.00	9011.98	9234.00	10601.00	13731.00	16646.00	22627.00	27398.23
SAU	ME	214.9350	16256.00	18251.00	20807.00	23022.27	23612.00	26416.00	32089.00	37314.00	45030.00	50453.71
SDN	AFRICA	15.4061	25933.00	29492.00	33349.00	36160.77	36900.00	41230.00	50027.00	58446.00	73029.00	79130.44
SEN	AFRICA	5.2470	7896.00	9054.00	10334.00	11467.66	11770.00	13311.00	16442.00	19554.00	25257.00	29547.03
SGP	SEA	102.4622	3016.00	3478.00	4017.00	4263.14	4327.00	4592.00	4965.00	5202.00	5026.00	3971.63
SLB	SEA	0.2961	314.00	362.00	415.00	460.01	472.00	531.00	647.00	762.00	955.00	1059.33
SLE	AFRICA	0.8329	4087.00	4143.00	4521.00	5354.61	5586.00	6185.00	7747.00	9592.00	13524.00	14423.94
SLV	LA	14.1185	5110.00	5632.00	6195.00	6570.60	6668.00	7142.00	8077.00	8935.00	10040.00	9949.78
STP	AFRICA	0.0550	116.00	128.00	140.00	150.31	153.00	165.00	197.00	234.00	296.00	344.34
SUR	LA	1.0579	402.00	416.00	436.00	448.75	452.00	465.00	480.00	481.00	426.00	397.23
SVK	EEFSU	24.1932	5256.00	5364.00	5388.00	5387.20	5387.00	5396.00	5366.00	5217.00	4664.00	3768.53
SVN	EEFSU	21.6884	1927.00	1964.00	1984.00	1995.99	1999.00	2001.00	1972.00	1901.00	1694.00	1251.34
SWE	W-OECD	259.4895	8559.00	8827.00	8868.00	9003.74	9038.00	9242.00	9652.00	10012.00	10481.00	9772.63
SWZ	AFRICA	1.5196	865.00	959.00	1058.00	1111.27	1125.00	1160.00	1218.00	1264.00	1360.00	1355.70
SYR	ME	20.7270	12721.00	14610.00	16511.00	18391.36	18894.00	21428.00	25573.00	29294.00	34887.00	35742.48
TCD	AFRICA	2.4259	6113.00	7151.00	8465.00	9785.01	10146.00	11715.00	15336.00	19799.00	29395.00	40117.18
TGO	AFRICA	1.4615	3961.00	4516.00	5403.00	6062.04	6239.00	7122.00	8984.00	10856.00	14050.00	16139.60
THA	SEA	150.0618	54291.00	57523.00	60666.00	62528.51	63003.00	65125.00	67990.00	69218.00	67376.00	61494.95
TJK	EEFSU	1.4361	5303.00	5772.00	6173.00	6472.80	6550.00	7062.00	8342.00	9434.00	10760.00	10071.73
TKM	EEFSU	3.3523	3668.00	4193.00	4502.00	4764.91	4833.00	5163.00	5811.00	6270.00	6780.00	6459.93
TON	SEA	0.1711	95.00	97.00	98.00	98.80	99.00	102.00	108.00	115.00	123.00	124.01
TTO	LA	10.4825	1224.00	1270.00	1301.00	1319.37	1324.00	1348.00	1393.00	1400.00	1325.00	1140.52
TUN	AFRICA	23.2068	8219.00	8975.00	9564.00	9994.41	10105.00	10664.00	11712.00	12529.00	13178.00	11647.20
TUR	W-OECD	229.3015	57345.00	62736.00	68158.00	71981.16	72970.00	77703.00	86070.00	92468.00	98946.00	91419.71
TZA	AFRICA	11.7748	25494.00	29902.00	33849.00	37504.14	38478.00	43542.00	54479.00	65516.00	85077.00	94371.06
UGA	AFRICA	7.4386	17841.00	21235.00	24690.00	28040.58	28947.00	34040.00	46749.00	61548.00	92935.00	150408.20
UKR	EEFSU	44.0425	51536.00	51016.00	48854.00	47298.96	46918.00	45170.00	41679.00	38053.00	30937.00	23511.89
URY	LA	20.3816	3106.00	3218.00	3318.00	3324.40	3326.00	3374.00	3495.00	3590.00	3641.00	3462.83
USA	USA	10763.8602	256098.00	270245.00	284857.00	296786.39	299846.00	314692.00	342547.00	366187.00	402415.00	430437.68
UZB	EEFSU	16.7346	20515.00	22918.00	24724.00	26208.23	26593.00	28580.00	32481.00	35199.00	38386.00	34885.20
VCT	LA	0.3759	109.00	113.00	116.00	118.39	119.00	122.00	125.00	124.00	106.00	93.67
VEN	LA	120.0683	19731.00	22078.00	24402.00	26244.13	26726.00	29045.00	33415.00	37149.00	42049.00	41060.57
VNM	CPA	41.2449	66173.00	73330.00	79094.00	83807.40	85029.00	90845.00	101656.00	110429.00	119971.00	112284.04
VUT	SEA	0.2387	149.00	172.00	190.00	209.75	215.00	243.00	299.00	356.00	454.00	502.01
WSM	SEA	0.2534	161.00	168.00	177.00	182.58	184.00	192.00	204.00	217.00	215.00	249.70
YEM	ME	10.8646	12314.00	15523.00	18182.00	20478.04	21096.00	24475.00	32390.00	40768.00	58009.00	99131.91
ZAF	AFRICA	150.7367	36577.00	41505.00	45398.00	47419.67	47939.00	49278.00	51281.00	53236.00	55590.00	52936.41
ZMB	AFRICA	3.8586	8122.00	9259.00	10451.00	11264.83	11478.00	12625.00	15193.00	17870.00	22868.00	27284.11
ZWE	AFRICA	5.9079	10487.00	11791.00	12656.00	13025.86	13120.00	13760.00	15258.00	16628.00	19112.00	18967.05
PRK	CPA	15.0449	20143.00	21715.00	22946.00	23480.45	23616.00	24015.00	24838.00	25434.00	24666.00	22244.45
LBY	AFRICA	42.4590	4364.00	4833.00	5346.00	5798.90	5918.00	6530.00	7656.00	8447.00	9683.00	9400.30
IRQ	ME	19.1484	18515.00	21632.00	25052.00	27380.75	27996.00	30688.00	39161.00	47376.00	61942.00	72751.80
ROM	EEFSU	46.8966	23207.00	22681.00	22138.00	21729.05	21628.00	21147.00	20079.00	18860.00	15928.00	13023.34
JPN	P-OECD	4746.0673	123537.00	125472.00	127034.00	127723.93	127897.00	127758.00	124489.00	118252.00	102511.00	83978.63
CHN	CPA	1909.9073	1155145.00	1220350.00	1277065.00	1311703.55	1320509.00	1359421.00	1429823.00	1467496.00	1418350.00	1202571.22
YUG	EEFSU	10.4883	4674.00	4766.00	5191.00	5978.98	6194.00	6785.00	10205.00	10205.00	14127.00	22949.97
ISR	ME	120.9153	4514.00	5374.00	6084.00	6565.72	6692.00	7272.00	8269.00	9160.00	10527.00	10362.60
FRA/MCO	W-OECD	1415.4792	56765.00	58235.00	59219.00	60658.65	61024.00	62540.00	64859.00	66641.00	68307.00	63989.90
ITA/SMR	W-OECD	1114.9575	56743.00	57327.00	57719.00	58483.34	58676.00	59063.00	58634.00	57552.00	54643.00	41169.30
SYC	AFRICA	0.5567	72.00	76.00	81.00	84.98	86.00	88.00	92.00	96.00	100.00	122.72
ATG	LA	0.7686	62.00	68.00	77.00	81.76	83.00	88.00	97.00	104.00	111.00	105.85
DMA	LA	0.2525	69.00	69.00	68.00	68.00	68.00	67.00	68.00	69.00	67.00	63.89
GRD	LA	0.4015	96.00	98.00	100.00	103.98	105.00	105.00	107.00	107.00	95.00	90.60
KNA	LA	0.3929	41.00	43.00	46.00	48.38	49.00	52.00	59.00	64.00	69.00	65.80
KIR	SEA	0.0520	72.00	77.00	84.00	90.34	92.00	100.00	115.00	131.00	151.00	148.14
MHL	SEA	0.1043	47.00	51.00	52.00	55.96	57.00	63.00	75.00	83.00	92.00	90.26
PLW	SEA	0.1272	15.00	17.00	19.00	19.80	20.00	21.00	22.00	24.00	26.00	25.51
TMP	SEA	0.3285	740.00	850.00	819.00	1012.02	1067.00	1271.00	1749.00	2284.00	3462.00	3527.23
ESH	AFRICA	0.2887	221.00	259.00	315.00	411.55	440.00	530.00	723.00	819.00	938.00	1036.04
REU	AFRICA	0.6081	604.00	664.00	724.00	772.40	785.00	836.00	926.00	999.00	1072.00	1032.88
SOM	AFRICA	6.0984	6717.00	6242.00	7055.00	7953.92	8196.00	9486.00	12291.00	15193.00	21057.00	35073.24
SHN	AFRICA	0.0054	5.00	5.00	6.00	6.00	6.00	7.00	7.00	8.00	9.00	11.05
ANT	LA	0.7356	191.00	191.00	181.00	184.99	186.00	199.00	207.00	206.00	186.00	169.57
BRB	LA	1.2341	271.00	280.00	286.00	290.79	292.00	297.00	303.00	301.00	272.00	222.45
CUB	LA	48.0025	10605.00	10930.00	11142.00	11236.30	11260.00	11257.00	11248.00	11126.00	9911.00	8032.89
GLP	LA	1.8387	391.00	406.00	421.00	434.55	438.00	454.00	474.00	484.00	468.00	408.87
GUF	LA	0.8029	116.00	139.00	165.00	186.27	192.00	217.00	267.00	319.00	406.00	417.47
MTQ	LA	1.6759	360.00	375.00	386.00	393.98	396.00	402.00	405.00	400.00	350.00	318.64
VIR	LA	0.4771	103.00	107.00	110.00	110.80	111.00	111.00	109.00	103.00	82.00	75.83
ABW	LA	0.4074	64.00	83.00	90.00	100.26	103.00	103.00	106.00	108.00	104.00	99.18
AIA	LA	0.0504	9.00	10.00	11.00	11.79	12.00	13.00	15.00	16.00	17.00	16.21
BMU	LA	0.2743	60.00	61.00	63.00	63.80	64.00	65.00	66.00	66.00	63.00	60.08
CYM	LA	0.1979	26.00	33.00	40.00	44.73	46.00	49.00	54.00	57.00	59.00	56.26
FLK	LA	0.0176	2.00	2.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	2.86
MSR	LA	0.0122	11.00	10.00	5.00	5.79	6.00	6.00	6.00	7.00	7.00	6.68
TCA	LA	0.0974	12.00	15.00	19.00	22.90	24.00	26.00	29.00	31.00	32.00	30.52
VGB	LA	0.1008	17.00	18.00	21.00	21.80	22.00	23.00	26.00	27.00	28.00	26.70
QAT	ME	2.7653	467.00	526.00	617.00	756.46	796.00	885.00	1040.00	1161.00	1333.00	1293.35
GUM	SEA	0.1641	134.00	146.00	155.00	166.10	169.00	180.00	201.00	220.00	242.00	242.98
ASM	SEA	0.0610	47.00	53.00	57.00	62.53	64.00	71.00	83.00	96.00	113.00	110.86
COK	SEA	0.0147	18.00	18.00	16.00	14.38	14.00	13.00	11.00	11.00	12.00	11.77
MNP	SEA	0.0800	44.00	58.00	69.00	77.67	80.00	88.00	104.00	119.00	152.00	149.12
NIU	SEA	0.0020	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00	1.00	0.98
NRU	SEA	0.0101	9.00	10.00	10.00	10.00	10.00	10.00	11.00	11.00	11.00	10.79
TKL	SEA	0.0035	2.00	1.00	2.00	1.15	1.00	1.00	1.00	1.00	1.00	0.98
TUV	SEA	0.0101	9.00	10.00	10.00	10.00	10.00	11.00	11.00	12.00	12.00	11.77
WLF	SEA	0.0160	14.00	14.00	15.00	15.00	15.00	16.00	17.00	17.00	17.00	16.68
AFG	SEA	23.1761	12659.00	18256.00	20737.00	24134.10	25067.00	30389.00	40993.00	53252.00	79423.00	103116.11
BRN	SEA	0.3703	257.00	295.00	333.00	365.41	374.00	414.00	491.00	561.00	681.00	694.92
MMR	SEA	48.6584	40147.00	43134.00	45884.00	47542.97	47967.00	50051.00	53780.00	56681.00	58709.00	54633.52
SPM	W-OECD	0.1256	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	6.00	5.37
AND	W-OECD	1.3988	53.00	65.00	66.00	71.54	73.00	75.00	75.00	73.00	66.00	59.12
FRO	W-OECD	0.9980	47.00	44.00	46.00	47.59	48.00	50.00	53.00	55.00	58.00	51.96
GIB	W-OECD	0.5653	27.00	27.00	27.00	28.59	29.00	29.00	29.00	29.00	27.00	24.19
GRL	W-OECD	1.1725	56.00	56.00	56.00	56.80	57.00	59.00	63.00	64.00	64.00	57.33
LIE	W-OECD	0.7263	29.00	31.00	33.00	34.59	35.00	36.00	39.00	42.00	45.00	40.31
VAT	W-OECD	0.0209	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.90
PSE	ME	14.4043	2154.00	2617.00	3149.00	3630.53	3762.00	4409.00	5806.00	7320.00	10265.00	13791.34
PCN	SEA	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CHI	W-OECD	3.1289	142.00	144.00	147.00	148.60	149.00	150.00	151.00	151.00	144.00	128.00
IMY	W-OECD	1.5637	70.00	72.00	77.00	77.80	78.00	78.00	78.00	78.00	73.00	65.40
