CC	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
TGO	1.3291104	1.9588452689801	2.38028043615288	2.80518794092588	3.69265588826522	4.66019693583849	5.68741488796103	6.76237182578911	7.87460093943176	9.01556607795277	9.70187342124492	10.3778497731206	11.0426183271877	11.6956093250912	12.3365015269531	12.9651721062692	13.5816543461003	14.1861023432693	14.7787618666949	15.3599465258592
TCD	1.3902752	2.3011080921057	3.06286906342939	3.85884607730207	5.47466688340018	7.33088064176411	9.57039678490577	12.0353889595124	14.6951334170189	17.5217106312753	19.4898874256942	21.493212490202	23.5253594055293	25.5808226405863	27.6548412696065	29.7433215848829	31.842761899027	33.9501816207992	36.0630557981183	38.1792556874505
SWZ	1.388703232	1.54454930779531	1.45591811590848	1.37255571974204	1.47268391270355	1.54490734475191	1.61275915985031	1.65973025652302	1.6897290866884	1.70604562549299	1.6687419839347	1.62931395728744	1.58833478146911	1.54628983034097	1.50358687279689	1.46056583162326	1.41750782097712	1.37464334912751	1.3321596494056	1.29020715297132
STP	0.046484292	0.0608763136338333	0.068444228028807	0.0757768943167911	0.095819309213047	0.116943317281744	0.138702939734566	0.160910223571202	0.183402971427641	0.206058703318259	0.219316211520902	0.232338295320929	0.245115547399401	0.25764343867737	0.269921297341331	0.281951448547633	0.293738499271952	0.305288750924609	0.316609722217411	0.327709765674983
SLE	0.63378656	1.06411169396166	1.42815335747739	1.80367873439589	2.53880679524801	3.37608054094414	4.37282605058931	5.46281397673361	6.63259809809866	7.87014184357415	8.53704725724216	9.18662375842237	9.81808522446361	10.4310233778525	11.0253298638689	11.6011304326548	12.1587300940997	12.6985679601247	13.221180467962	13.7271717387685
SEN	4.384747008	5.85718019913413	6.55520165581203	7.22565549195469	8.98878689934226	10.8154672479655	12.7417229708988	14.6931776520134	16.6569811063857	18.6237742017808	19.6710618589261	20.6959336557252	21.6982395142795	22.6781444185345	23.6360532614926	24.5725487842336	25.4883410336737	26.3842267335549	27.2610570381229	28.1197122724566
SDN	12.191583232	16.3450924467718	18.3570503088351	20.3035425415748	25.2649507504665	30.4147641562495	35.7528477459784	41.1513585181041	46.5763001623218	52.0031215456248	54.7329905741492	57.3669709929499	59.9066058071141	62.354347914465	64.713303264596	66.9870235530124	69.1793414457397	71.2942416108194	73.3357614111532	75.307915829563
RWA	1.810880128	2.73015405049006	3.40874506640253	4.10206928650848	5.44886481216035	6.92699412523631	8.62327933302569	10.4283361346169	12.3226133148223	14.2895085385133	15.5107789637889	16.7267279185164	17.9350119201614	19.133824752169	20.3218113471332	21.4979916094985	22.6616940953357	23.8124990156193	24.9501897753833	26.074712144122
NGA	42.078142464	57.4030750177492	65.4605244651604	73.3300885894639	92.334855151885	112.290454648013	133.594941235569	155.403889101195	177.551204826773	199.909921746243	213.082092157515	226.040334050162	238.773677588351	251.276070997627	263.545381175465	275.582547477571	287.390874869683	298.975450492572	310.342667279949	321.499838937119
NER	1.798365184	3.07813858585158	4.27907969803321	5.56589914238121	8.23776734613581	11.3851306440277	15.6636465665694	20.5090647396176	25.85630124926	31.6432181700566	36.8852511053203	42.4112134661584	48.1949341961892	54.21187687496	60.4392611526215	66.8561014548653	73.4431864228291	80.183017569899	87.0597213812588	94.0589455665182
NAM	3.413544704	3.888272130289	3.75678790556484	3.61815446109632	3.95686113137254	4.22013009544455	4.41035217029639	4.53805688234219	4.61354725806092	4.64574667954752	4.51563034103884	4.37780399992082	4.23401794540244	4.08576974853182	3.93433172098147	3.78077754290107	3.6260072915803	3.47077043771816	3.3156866141235	3.16126412423133
MWI	1.74350656	2.87270686308394	3.78996512439318	4.73905764616537	6.56485542290849	8.62462063456633	10.9582022470515	13.4746451994721	16.144304285292	18.9414040834399	20.8818751492675	22.8340650736875	24.7928311551151	26.7539122485712	28.7138135918106	30.6697002425003	32.6193006071533	34.5608205563103	36.4928679662779	38.4143871204377
MUS	4.423849984	4.83082710464101	4.4557242384941	4.10219695698592	4.2689824385732	4.33497263729285	4.295681862082	4.18797114701848	4.02985256844041	3.83555510454534	3.54884625394974	3.26509268050342	2.98621569335221	2.71371401799901	2.44872995915165	2.19210820879325	1.94444726711154	1.70614381354967	1.47743057933634	1.25840837784344
MRT	1.080830464	1.45281186910622	1.62940765490798	1.79938597277475	2.24352287494733	2.70477793639352	3.18750002572612	3.67678926681559	4.16941025045075	4.66299907539777	4.99321042727275	5.32240479326917	5.65009323604583	5.97589772605825	6.2995334686244	6.62079325211987	6.93953380672335	7.25566406902788	7.56913519444472	7.8799321343131
MOZ	3.777704704	5.54541060728549	6.6540772791945	7.74972645680075	10.110359854936	12.6559023207166	15.4413784217814	18.3484832661293	21.3486114216804	24.4187304303242	26.2693537651299	28.07861261334	29.8446139711535	31.5663700681029	33.2436118762465	34.876631561733	36.466151179678	38.0132145429351	39.5190991433208	40.9852451477648
MLI	2.422469632	3.65328544614615	4.59818534426691	5.56773944520039	7.61147850471771	9.9012509706058	12.6002122683236	15.5176686560262	18.6192782125814	21.8749583874614	24.4461052140683	27.0899898622812	29.7972530717102	32.5594863203929	35.3691843977954	38.2196846421221	41.1050991879055	44.0202447832867	46.9605733333704	49.9221052540903
MDG	3.877620992	5.7470900529194	7.02808279006736	8.32357169083978	11.0349741231954	14.0075815332387	17.341057496249	20.8731474712605	24.5666045500812	28.3900884141959	31.1228350219859	33.8835335285007	36.6649008972174	39.460758168625	42.265903175122	45.075989043587	47.8874113890783	50.6972057082769	53.5029555079119	56.3027110535493
MAR	33.3340672	38.3827898326135	37.5816117189966	36.7136294199293	40.5220474293914	43.6769264376067	45.9602063885687	47.6791394632783	48.9334358278274	49.8080891369748	48.9858212164707	48.0967554256815	47.1566157746409	46.1788245838909	45.1747569448396	44.1539863238107	43.1245145831717	42.0929827033306	41.0648606175695	40.0446160162008
